CONFORMED-NAME	SIC	CIK	YEAR
SUNAIR SERVICES CORP-09	7340	95366	2009
ADOBE SYSTEMS INC-09	7372	796343	2009
KUNEKT CORP-09	7380	1419177	2009
Ensign Services, Inc.-09	7380	1421323	2009
BBN Global Consulting, Inc-09	7363	1387620	2009
MEDICAL INFORMATION TECHNOLOGY INC-09	7372	1011452	2009
VOLT INFORMATION SCIENCES, INC.-09	7363	103872	2009
CLEARVIEW ACQUISITIONS, INC.-09	7372	1364560	2009
ARTIFICIAL LIFE INC-09	7372	1070361	2009
Your Event, Inc.-09	7389	1424100	2009
WESTAFF INC-09	7363	931911	2009
Atomic Guppy Inc-09	7389	1122991	2009
HALF ROBERT INTERNATIONAL INC /DE/-09	7363	315213	2009
PRICELINE COM INC-09	7389	1075531	2009
Cinjet, Inc.-09	7380	1398137	2009
TYLER TECHNOLOGIES INC-09	7372	860731	2009
INFORMATICA CORP-09	7372	1080099	2009
BROADVISION INC-09	7372	920448	2009
PROS Holdings, Inc.-09	7371	1392972	2009
ATC Technology CORP-09	7389	933405	2009
EQUIFAX INC-09	7320	33185	2009
MERCADOLIBRE INC-09	7389	1099590	2009
LAMAR ADVERTISING CO/NEW-09	7311	1090425	2009
OMNICOM GROUP INC-09	7311	29989	2009
Digimarc CORP-09	7373	1438231	2009
SOTHEBYS-09	7389	823094	2009
UNITED ONLINE INC-09	7370	1142701	2009
SYBASE INC-09	7372	768262	2009
COGENT COMMUNICATIONS GROUP INC-09	7372	1158324	2009
CLAIMSNET COM INC-09	7374	1046057	2009
AARON RENTS INC-09	7359	706688	2009
PREMIERE GLOBAL SERVICES, INC.-09	7389	880804	2009
SCIENTIFIC GAMES CORP-09	7373	750004	2009
MONEYGRAM INTERNATIONAL INC-09	7389	1273931	2009
WIRED ASSOCIATES SOLUTIONS INC-09	7331	1245841	2009
ZAP COM CORP-09	7310	1083243	2009
CIBER INC-09	7371	918581	2009
SPHERION CORP-09	7363	914536	2009
SUNGARD DATA SYSTEMS INC-09	7374	789388	2009
WEB.COM GROUP, INC.-09	7372	1095291	2009
INTERNET BRANDS, INC.-09	7389	1080131	2009
BORLAND SOFTWARE CORP-09	7372	853273	2009
MAKEMUSIC, INC.-09	7372	920707	2009
SONICWALL INC-09	7389	1093885	2009
MDC PARTNERS INC-09	7311	876883	2009
TECHNOLOGY SOLUTIONS COMPANY-09	7373	877645	2009
DG FastChannel, Inc-09	7389	934448	2009
ONLINE ORIGINALS, INC-09	7389	1357878	2009
Vangent, Inc.-09	7373	1402478	2009
HEALTHMED SERVICES LTD-09	7374	1265521	2009
COMSYS IT PARTNERS INC-09	7363	948850	2009
RENAISSANCE LEARNING INC-09	7372	1030484	2009
EVOLVING SYSTEMS INC-09	7371	1052054	2009
FALCONSTOR SOFTWARE INC-09	7372	922521	2009
CASS INFORMATION SYSTEMS INC-09	7389	708781	2009
I2 TECHNOLOGIES INC-09	7372	1009304	2009
UNIVERSAL HOSPITAL SERVICES INC-09	7350	886171	2009
CARDTRONICS INC-09	7389	1277856	2009
Buyonate Inc.-09	7372	1440770	2009
OPTIMAL GROUP INC-09	7389	1015923	2009
Compass Group Diversified Holdings LLC-09	7363	1345122	2009
LIVEPERSON INC-09	7389	1102993	2009
SYMYX TECHNOLOGIES INC-09	7372	1095330	2009
FREEDOM RESOURCES ENTERPRISES INC-09	7389	1045390	2009
INTERNAP NETWORK SERVICES CORP-09	7370	1056386	2009
VITAL IMAGES INC-09	7372	912888	2009
LEAF Equipment Leasing Income Fund III, L.P.-09	7350	1376074	2009
NYFIX INC-09	7373	99047	2009
ENERNOC INC-09	7389	1244937	2009
PAID INC-09	7389	1017655	2009
IPASS INC-09	7374	1053374	2009
PROTECTION ONE ALARM MONITORING INC-09	7380	916310	2009
DATATRAK INTERNATIONAL INC-09	7372	886530	2009
ARBINET THEXCHANGE INC-09	7389	1136655	2009
NESS TECHNOLOGIES INC-09	7371	1089638	2009
China Information Security Technology, Inc.-09	7372	1350684	2009
CROSS COUNTRY HEALTHCARE INC-09	7363	1141103	2009
LOGICVISION INC-09	7372	1041418	2009
CONSTITUTION MINING CORP-09	7389	1168938	2009
INTELLIGROUP INC-09	7373	1016439	2009
Disaboom, Inc.-09	7389	1393901	2009
ISSUER DIRECT CORP-09	7370	843006	2009
PR Complete Holdings, Inc-09	7389	1449527	2009
CREDITRISKMONITOR COM INC-09	7320	315958	2009
Titanium Group LTD-09	7373	1338520	2009
DigitalFX International Inc-09	7373	1095691	2009
Hipso Multimedia, Inc.-09	7372	1345865	2009
We Sell For U Corp.-09	7389	1423417	2009
Sloud Inc-09	7371	1391723	2009
JobsInSite, Inc.-09	7372	1376231	2009
GLOBAL MED TECHNOLOGIES INC-09	7372	1009463	2009
FUTUREIT, INC.-09	7372	1421481	2009
iVoice Technology, Inc.-09	7373	1307969	2009
ABLEAUCTIONS COM INC-09	7389	1099290	2009
ICON INCOME FUND EIGHT B LP-09	7359	1121716	2009
EMAGEON INC-09	7372	1121439	2009
DIRECT INSITE CORP-09	7373	879703	2009
ICON INCOME FUND NINE LLC-09	7359	1157522	2009
BSQUARE CORP /WA-09	7389	1054721	2009
LEASE EQUITY APPRECIATION FUND I LP-09	7350	1169083	2009
Qnective, Inc.-09	7380	1353637	2009
AI DOCUMENT SERVICES, INC.-09	7389	1402536	2009
Lease Equity Appreciation Fund II, L.P.-09	7350	1294154	2009
NETWORK CN INC-09	7310	934796	2009
TUCOWS INC /PA/-09	7374	909494	2009
THEGLOBE COM INC-09	7310	1066684	2009
DEVELOCAP INC-09	7363	1279740	2009
MEDIANET GROUP TECHNOLOGIES INC-09	7389	1097792	2009
INTELLIGENT SYSTEMS CORP-09	7372	320340	2009
RCM TECHNOLOGIES INC-09	7363	700841	2009
AUXILIO INC-09	7389	1011432	2009
ZI CORP-09	7372	922658	2009
ACE MARKETING & PROMOTIONS INC-09	7310	1084267	2009
FOOD TECHNOLOGY SERVICE INC-09	7389	868267	2009
Medical Design Studios, Inc.-09	7389	1405917	2009
BROADCAST INTERNATIONAL INC-09	7389	740726	2009
UONLIVE CORP-09	7389	1081834	2009
Casita Enterprises, Inc.-09	7373	1398805	2009
NINE MILE SOFTWARE, INC.-09	7372	1398004	2009
DALE JARRETT RACING ADVENTURE INC-09	7389	1094032	2009
SECURECARE TECHNOLOGIES INC-09	7374	18530	2009
PEER REVIEW MEDIATION & ARBITRATION INC-09	7389	1311627	2009
LEAGUE NOW HOLDINGS CORP-09	7389	1424657	2009
WREN, INC.-09	7389	1311344	2009
MEDICAL CONNECTIONS HOLDINGS, INC.-09	7361	1140303	2009
CHINA GREEN MATERIAL TECHNOLOGIES, INC.-09	7389	1082384	2009
PIPELINE DATA INC-09	7389	1086533	2009
BigString CORP-09	7389	1335282	2009
Paradigm Holdings, Inc-09	7373	313353	2009
VIEW SYSTEMS INC-09	7380	1075857	2009
310 HOLDINGS, INC.-09	7389	1381105	2009
Data Call Technologies-09	7389	1321828	2009
VILLAGEEDOCS INC-09	7389	1122099	2009
iGenii, Inc.-09	7389	1441573	2009
DEX MEDIA WEST LLC-09	7310	1278438	2009
USA VIDEO INTERACTIVE CORP-09	7389	1107280	2009
Ozone Man, Inc.-09	7340	314227	2009
VISION INDUSTRIES CORP-09	7389	1405424	2009
AMACORE GROUP, INC.-09	7389	949394	2009
IPAYMENT INC-09	7389	1140184	2009
ZUNICOM INC-09	7389	886912	2009
FORMAT INC-09	7371	1137091	2009
Helios & Matheson North America Inc.-09	7380	1040792	2009
Contracted Services, Inc.-09	7380	1372267	2009
Activeworlds Corp-09	7389	1089531	2009
